movieId,rating,userId
1213,5,567726
315,4,10340442
1617,4,17405054
1955,3,5334973
52281,3,4613645
1610,4,6772165
586,3,2045979
4896,3.5,16940309
6755,3.5,18076677
1732,4,16712767
2285,4,9652084
1035,3,5178320
42,4,7997728
1972,3,10354855
4890,3,11829303
1405,3,6348586
2443,4.5,16570527
1210,3,2472308
8641,3.5,18015380
1079,3,12829003
1587,3,3587654
8665,4,6140888
1092,3.5,137130
2572,3,15250358
6949,3,17283015
2102,4,3310478
53972,3.5,12064774
3142,3.5,2102097
2871,5,18584055
2908,5,6030439
2761,4,17453153
3701,4,132219
2020,4,14229063
1256,5,7742324
592,3,19585810
3702,4,4019786
1617,4,72654
82459,5,9685054
1291,4,19868165
4878,4,1940280
509,4,987143
2942,3,9388821
7153,5,927811
2791,5,18439422
4034,4,10514812
818,3,15731445
2533,3,14927334
4386,3.5,8286406
1291,5,10691792
940,4,5074747
2763,4,9812112
471,5,15240998
34,4,19657091
33660,4.5,8985997
3114,4.5,14518097
6297,4.5,149865
81804,3,11708085
7054,4.5,11388365
2355,3,19356375
2628,4,11395045
356,3,259760
919,5,3640931
2836,3,15832660
3988,3,8642113
48394,4,19587417
3260,3,6278217
508,4,764816
71535,3.5,7942289
5378,5,11881760
6440,4.5,6904063
3949,4.5,9781393
551,4,14249227
4954,3.5,6081485
2950,3,13630847
26152,3.5,13600752
1361,4,5032775
745,4,11395045
5013,3.5,1571571
260,4,6189415
1032,4,10714153
2628,5,18970573
587,3,13503144
380,3,2407867
741,3.5,8355526
1729,4,12781388
36,3,7399422
2692,4.5,4842098
1233,4,468440
4886,4,16130108
2762,5,6372092
48738,3.5,7668775
1517,5,18047439
3448,4.5,7830733
5418,3.5,15073021
8493,4.5,8031520
1079,4,13900074
6874,3.5,3645808
4902,3,4654635
3150,3,7108815
87232,4,11227425
1210,3.5,15761575
4033,3,17002659
2471,3,10053139
4014,3,1301236
5673,4.5,14709847
356,5,10335102
2916,3,1545834
